speed,Irms,phase,Lab_AC_W,json_Hyb_W,json_TS_W,ratio,AF
16000,230.075,54,20667.9423281421,21097.5992338502,23143.3508351253,0.979634796312808,1.09696608503174
16000,230.075,72,20828.6895029923,21545.8869747196,21997.7232650288,0.966713021721094,1.0209708837162
16000,230.075,90,21678.2134184406,22363.1915018766,21519.4159148471,0.969370289416047,0.962269446784522
16000,460.05,0,48970.7633582963,51417.4471748852,88607.2641896621,0.952415299649805,1.72329178242327
16000,460.05,18,57025.2488626106,59828.5337158444,91479.3573244588,0.953144683997305,1.5290255609295
16000,460.05,36,68352.0112601881,70509.7446958553,94956.3147970966,0.969398081854152,1.34671193615424
16000,460.05,54,77861.7519761925,81131.4624013954,93762.3727534121,0.959698613479613,1.15568449006288
16000,460.05,72,82370.7640778714,83863.5901199421,86850.5871917403,0.982199354452442,1.03561732889715
16000,460.05,90,80600.9322745564,83100.8781450534,NaN,0.969916733417265,NaN
16000,690.025,0,90215.3607323586,95734.1110712754,171414.489271585,0.942353354753479,1.79052677622885
16000,690.025,18,102896.321641856,108704.15106839,176472.091453341,0.946572146790605,1.62341630672701
16000,690.025,36,124342.190324906,129374.512200006,185613.770153472,0.961102679426377,1.43470121739685
16000,690.025,54,152093.594319714,158447.498635347,190204.818578002,0.959898992597818,1.20042802957554
16000,690.025,72,173729.787529176,176867.166979846,182047.104224858,0.982261380084031,1.02928716128303
16000,690.025,90,166868.650220886,172215.534545944,81693.2828231436,0.968952369255446,0.474366514255131
16000,920,0,140553.322221023,150258.924790995,274861.217901594,0.935407480231395,1.82925053060187
16000,920,18,156024.868755675,165223.010831193,280531.312020391,0.944328928342093,1.69789492764424
16000,920,36,180382.561967501,191351.160068513,289131.705873805,0.942678172961772,1.51100053833111
16000,920,54,224726.838818871,231702.704635054,293364.793179756,0.969893032421997,1.26612589025158
16000,920,72,271654.343351603,282886.933810669,295308.363527458,0.96029300361188,1.04390952084448
16000,920,90,275257.926686969,284852.764471518,316561.835620507,0.966316501079602,1.11131740710966
